,Year,#Bat,BatAge,R/G,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,BB,SO,BA,OBP,SLG,OPS,TB,HBP,SH,BIP
0,2023,661,28.2,4.59,37.82543391188251,113325,101194,0.12124420913302449,0.2213280388263843,0.1414604015001103,0.04499448488859475,0.003741451577321862,0.03113170086035738,0.11634679020516214,0.018936686521067725,0.08588572689168321,0.22751378777851314,0.248,0.319,0.411,0.731,0.3672005294506949,0.011312596514449592,0.002329583057577763,0.6412442091330245
1,2022,790,28.2,4.28,37.45925925925926,182052,163465,0.11434645046470239,0.21793223914046536,0.14214070705073276,0.04361391250851405,0.0035319579021378506,0.0286456616790807,0.10924351284248457,0.013655439105310571,0.08158657965855909,0.2241777074681959,0.243,0.312,0.395,0.706,0.3545470524904972,0.011238547228264452,0.0021422450728363325,0.651802781622833
2,2021,1373,28.4,4.53,37.427130506381225,181821,161941,0.12105312367658301,0.21715863404117236,0.1375308682715418,0.04324582968963981,0.0036904427981366288,0.03269149328185413,0.1154597103744892,0.012171311344674158,0.08686565358236947,0.2317939071944385,0.244,0.317,0.411,0.728,0.3658598291726478,0.0116158199547907,0.004212934699512157,0.6324626968281991
3,2020,618,28.0,4.65,37.030066815144764,66506,59030,0.12546236429795807,0.21710823083631553,0.1363937088383003,0.042447297988151445,0.0036237331970047815,0.03464349081285899,0.11995910143445704,0.013307070038793492,0.09160075782636153,0.23435479505608517,0.245,0.322,0.418,0.74,0.3707334676570535,0.01234475084954741,0.001894565903828226,0.6246353712446997
4,2019,1287,27.9,4.83,38.393783449979416,186517,166651,0.12581694966142495,0.22538964276714724,0.13911332479076974,0.04573845815662916,0.004208731643764375,0.03632912817598396,0.1204769538433494,0.012224086812462134,0.08522011398424809,0.2295930129693272,0.252,0.323,0.435,0.758,0.38853294873925703,0.010637100103475823,0.004160478669504656,0.6337331181608111
5,2018,1271,28.1,4.45,38.07877416700946,185139,165432,0.11683113768573883,0.22155245518232247,0.14217425826001004,0.04463673240106082,0.004574940990282977,0.030166523530968624,0.11130015825946991,0.013362932715419225,0.0847255305473185,0.22257330978346,0.248,0.318,0.409,0.728,0.36583864015685513,0.010381389118446141,0.004445308659979799,0.6474864831288923
6,2017,1229,28.3,4.65,38.126543209876544,185295,165567,0.12187053077525027,0.22782589924174965,0.14527105426482095,0.045316927062252085,0.004290455759734477,0.03294746215494212,0.11634420788472435,0.013637712836288082,0.08542594241614722,0.2164332550797377,0.255,0.324,0.426,0.75,0.38056612428829706,0.00951455786718476,0.004992039720445775,0.6504546803745379
7,2016,1247,28.4,4.48,38.010708401976935,184580,165561,0.11780257882760863,0.22903889912233177,0.1491981796510998,0.044717737566366884,0.004729656517499187,0.030393325387365912,0.11239029147253224,0.013744717737566367,0.0817423339473399,0.21119297865424205,0.255,0.322,0.417,0.739,0.3743959258857948,0.008944631054285404,0.005553147686639939,0.6619514573626611
8,2015,1252,28.4,4.25,37.79909427748044,183628,165488,0.11243927941272573,0.22930054240094103,0.1525693249395517,0.044884222449735334,0.005113599233232405,0.02673339577842159,0.1070098242098155,0.013641710414533732,0.07663863898751824,0.20392314897510183,0.254,0.317,0.405,0.721,0.36461215065240593,0.008724159714204805,0.006534951096782626,0.6772659942928094
9,2014,1212,28.5,4.07,37.84547325102881,183929,165614,0.10743819626051357,0.22614704587096107,0.15453245545835623,0.04423989691674505,0.004615911574574972,0.022758781921284842,0.10191432563652279,0.015027537799911922,0.07622506510664441,0.2035622441268098,0.251,0.314,0.386,0.7,0.3478951117007106,0.00898172664452044,0.007301730559074426,0.6810454033893514
10,2013,1202,28.5,4.17,38.024064171122994,184873,166070,0.10956169911236362,0.22768603311462463,0.15382451737138467,0.04447377388802042,0.004175839630449011,0.02521190222477052,0.10423912631914882,0.014566756638340915,0.07918949765514705,0.19856874719401968,0.253,0.318,0.396,0.714,0.35614719293785463,0.00830840631135969,0.007480811151439096,0.6811054074959567
